SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$05F494,390292,Removing_MP_casting_spells,,USED
$00A140,41280,Transfer_Data_3b_1b_2b,,USED
$07BBAA,506794,Is_In_Battle,,USED
$018A25,100901,Is_Curr_Event_1b,,USED
$018A38,100920,Is_BattleState_Negative,,USED
$07975B,497499,Tbl_Cards_desc,,USED
$07976D,497517,Banks_Cards_desc,,USED
$0797C7,497607,Tbl_Items_Desc,,USED
$0898F0,563440,Attribute5,,USED
$0797EF,497647,Banks_Items_Desc,,USED
$07977F,497535,Pull_Item_Info,,USED
$0798A3,497827,Tbl_Spells_desc,,USED
$0898C0,563392,Attribute4,,USED
$079949,497993,Banks_Spells_desc,,USED
$05ECA5,388261,Spell_MP_cost,,USED
$079CAC,498860,Tbl_ItemPage_Offset1,,USED
$079C95,498837,Get_Equipment_ID,,USED
$05DF78,384888,EqFlag_Weapons,,USED
$089890,563344,Attribute3,,USED
$07A065,499813,Tbl_ItemPage_Offset2,,USED
$07A055,499797,Sub_Get_ItemOffset,,USED
$07A0D4,499924,Sub_Reset_Map,,USED
$05F026,389158,Items_Battle_use,,UNUSED
$07A236,500278,Tbl_Page_Offset,,USED
$089860,563296,Attribute2,,USED
$07A332,500530,Party_Equip_Bits,,USED
$07A4FA,500986,Tbl_Page_Offsets2,,USED
$07A524,501028,Table_0787,,USED
$07A536,501046,Table_07AB,,USED
$07A548,501064,Table_0A7B,,USED
$089807,563207,Flame3,,USED
$07AC00,502784,Tbl_Spell_List_Offset,,USED
$07ABED,502765,Sub_Wipe_Spells,,USED
$07AC66,502886,Tbl_Spell_List_Offsets,,USED
$0780F2,491762,Levelup_spells,,USED
$078104,491780,Levelup_spell_banks,,USED
$07ACFD,503037,Tbl_MenuUp,,USED
$07AD57,503127,Tbl_MenuDown,,USED
$07ADB1,503217,Tbl_MenuLeft,,USED
$07AE0B,503307,Tbl_MenuRight,,USED
$07AE7D,503421,Tbl_07AE6E,,USED
$07AE8F,503439,Tbl_07AE75,,USED
$07AEB9,503481,BattleCursorXPos,,USED
$07AECB,503499,BattleCursorYPos,,USED
$018F6C,102252,Selecting_Turn,,USED
$03A52A,238890,Tbl_Dungeon_BGM,,USED
$03A54C,238924,Sub_Darwin_Theme,,USED
$00D118,53528,Sub_Set_Music,,USED
$03A520,238880,Sub_Default_BGM,,USED
$009C3C,39996,GetSet_Music,,USED
$1791D9,1544665,Set_HAL_Logo_theme,,USED
$009C3F,39999,Set_Music,,USED
$059CD2,367826,Combat_Defend,,USED
$009C44,40004,GetSet_SFX,,USED
$00A00F,40975,WasBtnPressed_2b,,USED
$0597AC,366508,BattleMenu_A_Loop,,USED
$0597BE,366526,Tbl_Battle_Commands,,USED
$0597FE,366590,Selecting_Attack,,USED
$078A30,494128,Sub_Targeting_Prep,,USED
$008DB4,36276,Sub_LoadStuff,,USED
$07AEDD,503517,Is_Equals_1575,,USED
$02919B,168347,LoadData_Enemy0D,,USED
$07B44C,504908,Add_EXP_to_total_won,,USED
$07B45F,504927,Add_GP_to_total_won,,USED
$0290EB,168171,SFX_Atk_Rimsala,,USED
$0897B7,563127,Flame1,,USED
$07B122,504098,AfterEnemyLoot_4b,,USED
$0290E5,168165,SFX_Atk_Enemy,,USED
$02906E,168046,Atk_Ariel,,USED
$07AF9E,503710,Store_A_in_11B5_x_1b,,USED
$07AF6C,503660,Is_Enemy_Attack_Done_1b,,USED
$07AF83,503683,Search_0643_x_for_val,,USED
$07912A,495914,Get_enemy_ID_from_103F_far,,USED
$078324,492324,Get_Boss_num,,USED
$028FAD,167853,Wait_for_Atk_anim,,USED
$028FC9,167881,Tbl_Boss_Animations,,USED
$028FEA,167914,Atk_Stone_Guardian,,USED
$028FFC,167932,Atk_Iron_Guardian,,USED
$02900E,167950,Atk_Cyclops,,USED
$02901A,167962,Atk_Efrite,,USED
$029022,167970,Atk_Zerel,,USED
$02902D,167981,Atk_Hydra,,USED
$02903C,167996,Atk_Sauza,,USED
$02904D,168013,Atk_Darah,,USED
$029059,168025,Atk_Barah,,USED
$029079,168057,Atk_Teefa,,USED
$029084,168068,Atk_Karul,,USED
$02908F,168079,Atk_Galneon1,,USED
$02909A,168090,Atk_Galneon2,,USED
$0290A5,168101,Atk_Rimsala1,,USED
$0290B9,168121,Atk_Rimsala2,,USED
$07912E,495918,Get_enemy_ID_from_103F,,USED
$078272,492146,Enemy_spellcast,,USED
$05ED56,388438,Spell_SFX,,USED
$0782B3,492211,Spell_casting,,USED
$009A6C,39532,Return_Carry,,USED
$009AE2,39650,Highlander_1047,,USED
$0290F1,168177,SFX_Dies_Enemy,,USED
$000643,1603,Battle_Enemy_ID,"(2b) Enemy ID + #18, FFFF when killed",UNUSED
$001066,4198,Current_SFX,Value 01-32,UNUSED
$001049,4169,Event_CodePtr,Stores subroutine pointers,UNUSED
$001064,4196,Current_Music,Value 33-5A,UNUSED
$0010EB,4331,ASCII_vals,Used for displaying numbers,UNUSED
$001127,4391,Spell_ID,The spell an enemy is casting,UNUSED
$00120B,4619,Affinity,(2b) Race / Attribute,UNUSED
$001223,4643,Strength,"(2b) Rooks, Spirit, Guest 1-2, Enemy 1-8",UNUSED
$00123B,4667,Intelligence,,UNUSED
$001253,4691,Endurance,,UNUSED
$00126B,4715,Alertness,,UNUSED
$001283,4739,EqWeapon,(2b) Item ID / Character ID,UNUSED
$00129B,4763,EqArmor,,UNUSED
$0012BB,4795,Enemy_Amulet,,UNUSED
$0012CB,4811,EqRing,,UNUSED
$0012E3,4835,ACC_mods,"(2b) Buffs/Debuffs for Acc, Evade, Atk, Def",UNUSED
$0012F3,4851,Current_HP,"(2b) Rooks, Spirit, Guest 1-2, Enemies 1-8",UNUSED
$001323,4899,Current_MP,,UNUSED
$001363,4963,CurrentEXP,,UNUSED
$00137B,4987,CurrentLV,"(2b) Rooks, Spirit, Guest1, Guest2",UNUSED
$001393,5011,MaxHP,"(2b) Rooks, Spirit, Guest1, Guest2",UNUSED
$00139B,5019,MaxMP,,UNUSED
$0013A3,5027,Temp_EXP,Stores the sum earned in the current battle,UNUSED
$0013A5,5029,Temp_GP,,UNUSED
$0013A9,5033,Inventory_Cards,"(2b each, item ID / quantity, 8 entries)",UNUSED
$0013B9,5049,Inventory_Items,"(2b each, 48 entries)",UNUSED
$001419,5145,Inventory_Eqp,"(2b each, item ID / user ID)",UNUSED
$001459,5209,Spell_list,"(2b, 32 total)(Rooks, Spirit, Guest1, Guest2)",UNUSED
$001559,5465,Curr_GP,(2b),UNUSED
$00155B,5467,Curr_party,"0000=Rooks, 1-4=Spirits, 5-8 Guests, 9 None",UNUSED
$001573,5491,Curr_area,"01xx = dungeon, 00xx = town",UNUSED
$00104B,4171,Event_CodeBank,The bank for 1049,UNUSED
$001577,5495,Win_Color,Bit layout (-BBB B0GG GG0R RRR0),UNUSED
$001579,5497,Encounter_Type,"2=back attack, 3=normal. (What is 1?)",UNUSED
$001580,5504,Curr_Display,Text after 060D is white; after 060E is gray,UNUSED
$0015AF,5551,DisplayText,,UNUSED
$0016F5,5877,FloorTileValue,"1X,2X=Encounters;80=Chest;70=Boss...etc",UNUSED
$0016F7,5879,Map_X,X position on current map,UNUSED
$0016F9,5881,Map_Y,,UNUSED
$0016FB,5883,Map_Compass,"00=North, 02=East, 04=South, 06=West",UNUSED
$0016FF,5887,Map1_Progress,16FF-177E (80 bytes),UNUSED
$0018C9,6345,TempMP,Current MP after casting a spell,UNUSED
$0018CD,6349,Chapter_num,Value 01-05,UNUSED
$0018E3,6371,ChestTracker_1,Bit set = chest opened,UNUSED
$0018FF,6399,Story_Progress,"Tracks game progress, value 00-1D",UNUSED
$001E10,7696,Event_PC,"Super important, used to run data blocks",UNUSED
$001E12,7698,Event_PC_Bank,Current bank for $10,UNUSED
$001E14,7700,Event_PC_Stack,Stores backup addresses for $10,UNUSED
$002101,8449,OAM_sprite_size,,UNUSED
$002102,8450,OAM_lo,,UNUSED
$002104,8452,OAM_data,,UNUSED
$002121,8481,Palette_Num,Color/palette selection,UNUSED
$002122,8482,Color_data,Bit layout (-BBB BBGG GGGR RRRR),UNUSED
$004209,16905,V_Timer_lo,,UNUSED
$004208,16904,H_Timer_hi,,UNUSED
$004207,16903,H_Timer_lo,,UNUSED
$004200,16896,NMI_enable,,UNUSED
$002180,8576,WRAM_IO,Read/write WRAM,UNUSED
$002181,8577,WRAM_lo,,UNUSED
$002182,8578,WRAM_mid,,UNUSED
$002183,8579,WRAM_hi,,UNUSED
$004016,16406,Joypad_1,Joypad output 1,UNUSED
$004202,16898,Multiply_lo,,UNUSED
$004303,17155,DMA0_Source_hi,,UNUSED
$004304,17156,DMA0_Source_bank,,UNUSED
$004205,16901,Divisor,,UNUSED
$00420B,16907,DMA_enable,,UNUSED
$00420C,16908,HDMA_enable,,UNUSED
$004214,16916,Quotient,,UNUSED
$004216,16918,Mult_Divide_Result,,UNUSED
$002100,8448,Scn_Display,"Bits: x000bbbb, x=1 disable, bbbb=brightness",UNUSED
$0011C3,4547,Condition,(2b) Odd: Condition / Even: 01=party member,UNUSED
$0011DB,4571,Condition_copy,Seems to copy $11C3,UNUSED
$0781F0,492016,Zeros_11DB,,USED
$038001,229377,Bank_03_Maps_and_Gfx,,USED
$038380,230272,Tbl_Dungeon_Maps,,USED
$03D0DA,250074,The_Legend,,USED
$03D531,251185,Purchase_item,,USED
$03DF27,253735,Alchemist_prices,,USED
$03E044,254020,Card_Shop_choices,,USED
$0399FE,236030,Some_RAM_xfer,,USED
$03E4C4,255172,Whats_this_owo,,USED
$048001,294913,RLE_Town_Graphics,,USED
$07B470,504944,Set_character_ID_2b,,USED
$07B335,504629,LevelUp2,,USED
$0009EB,2539,Selection_value,"Current character ID, treasure chest value",UNUSED
$00155D,5469,Party_slot2,,UNUSED
$00155F,5471,Party_slot3,,UNUSED
$001561,5473,Party_slot4,,UNUSED
$00103F,4159,Selection,,UNUSED
$001041,4161,Function_results,,UNUSED
$001047,4167,LoopVar_1047,,UNUSED
$00130B,4875,Current_HP_copy,,UNUSED
$00133B,4923,Current_MP_copy,,UNUSED
$07B92F,506159,Max_heal,,USED
$07B169,504169,OR_element_with_2b,,USED
$078FC1,495553,Tbl_Character_Name_Tiles,,USED
$078FD5,495573,Bank_Character_Name_Tiles,,USED
$07B17F,504191,Get_Condition2,,USED
$00A105,41221,Transfer_Setup2_6b,,USED
$000CB3,3251,Function_results1,,UNUSED
$00A68C,42636,Set_Text_Parser,,USED
$00A0AC,41132,Setup_Text_Parser_3b,,USED
$0897DF,563167,Flame2,,USED
$07AC6E,502894,Unequip_character,,USED
$019260,103008,Look,,USED
$019214,102932,Dungeon_menu_options,,USED
$07BA03,506371,Wait_For_A_Press_1b,,USED
$07A816,501782,Compare_floor_tile_2b,,USED
$188416,1606678,Treasure_Tracker_Clear,,USED
$188FEB,1609707,Ch5_Treasures,,USED
$188AA3,1608355,Ch1_Treasures,,USED
$188B1D,1608477,Ch2_Treasures,,USED
$0018D7,6359,Ptr_Encounter_layout,,UNUSED
$188CB7,1608887,Ch3_Treasures,,USED
